Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
NXTL	Nextel Communications											X	X	X	X	X	X
NYT	The New York Times Co.						X	X	X	X	X	X	X	X	X	X	X
NYX	NYSE Euronext			X	X	X	X	X	X								
OAT	Quaker Oats															X	X
ODP	Office Depot Inc.						X	X	X	X	X	X	X	X	X	X	X
OI	Owens-Illinois Inc.	X	X	X	X	X	X	X									X
OK	Old Kent Financial															X	X
OKE	ONEOK, Inc.	X	X	X	X	X										X	X
OMC	Omnicom Group	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
OMX	OfficeMax Inc.								X	X	X	X	X	X	X	X	X
ONE	Bank One Corp.												X	X	X	X	X
ORCL	Oracle Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ORLY	O'Reilly Automotive	X	X	X	X	X	X										
OWC	Owens Corning																X
OXY	Occidental Petroleum	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PALM	Palm Inc.														X	X	
PAYX	Paychex Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PBCT	People's United Bank	X	X	X	X	X	X	X									
PBG	Pepsi Bottling Group Inc.						X	X	X	X	X	X	X	X	X		
PBI	Pitney-Bowes	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PBY	Pep Boys																X
PCAR	PACCAR Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PCG	PG&E Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PCH	Potlatch Corp.															X	X
PCL	Plum Creek Timber Co.	X	X	X	X	X	X	X	X	X	X	X	X	X			
PCLN	Priceline.com Inc	X	X	X	X	X	X										
PCP	Precision Castparts	X	X	X	X	X	X	X	X								
PCS	MetroPCS			X	X	X	X										
PCS (Sprint)	Sprint PCS												X	X	X	X	X
PD	Phelps Dodge									X	X	X	X	X	X	X	X
PDCO	Patterson Companies	X	X	X	X	X	X	X	X	X	X						
PDG	Placer Dome Inc.														X	X	X
PEG	Public Serv. Enterprise Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PEP	PepsiCo Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PETM	PetSmart, Inc.	X	X	X													
PFE	Pfizer Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PFG	Principal Financial Group	X	X	X	X	X	X	X	X	X	X	X	X	X			
PG	Procter & Gamble	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PGL	Peoples Energy									X	X	X	X	X	X	X	X
PGN	Progress Energy Inc.				X	X	X	X	X	X	X	X	X	X	X	X	X
PGR	Progressive Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PH	Parker-Hannifin	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PHA	Pharmacia Corp.													X	X	X	
PHM	Pulte Homes Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PKI	PerkinElmer	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PLD	Prologis	X	X	X	X	X	X	X	X	X	X	X	X				
PLL	Pall Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PM	Philip Morris Int'l	X	X	X	X	X	X	X									
PMCS	PMC-Sierra									X	X	X	X	X	X		
PMTC	Parametric Technology										X	X	X	X	X	X	X
PNC	PNC Financial Services	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PNR	Pentair Ltd.	X	X	X													
PNU	Pharmacia & Upjohn Inc.																X
PNW	Pinnacle West Capital	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
POM	Pepco Holdings Inc.	X	X	X	X	X	X	X	X								
PPG	PPG Industries	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PPL	PPL Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PRD	Polaroid Corp.																X
PRGO	Perrigo	X	X	X	X												
PRU	Prudential Financial	X	X	X	X	X	X	X	X	X	X	X	X	X			
PSA	Public Storage	X	X	X	X	X	X	X	X	X	X						
PSFT	PeopleSoft Inc.												X	X	X	X	X
PSX	Phillips 66	X	X	X													
PTV	Pactiv LLC						X	X	X	X	X	X	X	X	X	X	X
PVH	PVH Corp.	X	X														
PVN	Providian Financial											X	X	X	X	X	X
PWER	Power-One, Inc.											X	X	X	X	X	
PWJ	PainWebber Group																X
PWR	Quanta Services Inc.	X	X	X	X	X	X										
PX	Praxair Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
PXD	Pioneer Natural Resources	X	X	X	X	X	X	X									
Q	Qwest Communications					X	X	X	X	X	X	X	X	X	X	X	
QCOM	Qualcomm, Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
QEP	QEP Resources	X	X	X	X	X											
QLGC	QLogic Corp.					X	X	X	X	X	X	X	X	X	X	X	
QTRN	Quintiles Transnational													X	X	X	X
R	Ryder System	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
RAD	Rite Aid Corp.																X
RAI	Reynolds American Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X			
RAL	Ralston Purina Co.															X	X
RATL	Rational Software													X			
RBK	Reebok Int'l										X	X	X	X	X	X	X
RCL	Royal Caribbean Cruises	X															
RD	Royal Dutch Petroleum														X	X	X
RDC	Rowan Companies plc		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
REGN	Regeneron	X	X														
RF	Regions Financial Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
RHI	Robert Half International	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
RHT	Red Hat Inc.	X	X	X	X	X	X										
RIG	Transocean	X	X						X	X	X	X	X	X	X	X	X
RKY	Adolph Coors											X	X	X	X	X	X
RL	Polo Ralph Lauren Corp.	X	X	X	X	X	X	X	X								
RLGY	Realogy Corp.									X							
RLM	Reynolds Metals																X
RML	Russell Corp.																X
ROH	Rohm and Haas Co.							X	X	X	X	X	X	X	X	X	X
ROK	Rockwell Automation Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ROP	Roper Industries	X	X	X	X	X	X										
ROST	Ross Stores	X	X	X	X	X	X										
RRC	Range Resources Corp.	X	X	X	X	X	X	X	X								
RRD	R.R. Donnelley				X	X	X	X	X	X	X	X	X	X	X	X	X
RSG	Republic Services Inc.	X	X	X	X	X	X	X									
RSH	RadioShack Corp.					X	X	X	X	X	X	X	X	X	X	X	X
RTN	Raytheon Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
S	Sprint Nextel Corp.			X	X	X	X	X	X	X	X	X	X	X	X	X	X
S (Sears)	Sears, Roebuck & Co.											X	X	X	X	X	X
SAF	Safeco Corp.								X	X	X	X	X	X	X	X	X
SAIC	SAIC			X	X	X	X										
SANM	Sanmina Corp.									X	X	X	X	X	X	X	
SAPE	Sapient Corp.														X	X	
SBL	Symbol Technologies									X	X	X	X	X	X	X	
SBUX	Starbucks Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
SCG	SCANA Corp.	X	X	X	X	X	X	X									
SCHW	Charles Schwab Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SDS	SunGard Data Systems											X	X	X			
SE	Spectra Energy Corp.	X	X	X	X	X	X	X	X	X							
SEBL	Siebel Systems Inc.										X	X	X	X	X	X	
SEE	Sealed Air Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SEG	Seagate Technology																X
SFA	Scientific Atlanta Inc.										X	X	X	X	X	X	X
SGI	Silicon Graphics																X
SGP	Schering-Plough Corp.							X	X	X	X	X	X	X	X	X	X
SHLD	Sears Holding Corporation				X	X	X	X	X	X	X						
SHW	Sherwin-Williams Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SIAL	Sigma-Aldrich Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SII	Smith International Inc.						X	X	X	X							
SJM	J.M. Smucker Co.	X	X	X	X	X	X	X									
SLB	Schlumberger Ltd.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SLE	Sara Lee Corp.				X	X	X	X	X	X	X	X	X	X	X	X	X
SLM	SLM Corp.		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SLR	Solectron Corp.									X	X	X	X	X	X	X	X
SMI	Springs Industries Inc.																X
SMS	Shared Medical Systems																X
SNA	Snap-On Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SNDK	SanDisk Corporation	X	X	X	X	X	X	X	X	X							
SNI	Scripps Networks Int.	X	X	X	X	X	X	X									
SNV	Synovus Financial Corp.									X	X	X	X	X	X	X	X
SO	Southern Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SOTR	South Trust Corp.												X	X	X	X	X
SOV	Sovereign Bancorp.							X	X	X	X	X					
SPG	Simon Property Group Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X			
SPLS	Staples Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SRCL	Stericycle Inc.	X	X	X	X	X	X	X									
SRE	Sempra Energy	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SRV	Service Corp. Int'l																X
SSP	E.W. Scripps Co.								X	X	X						
STI	SunTrust Banks	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
STJ	St. Jude Medical, Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
STR	Questar Corp.						X	X	X	X							
STT	State Street Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
STX	Seagate Technology	X	X	X													
STZ	Constellation Brands	X	X	X	X	X	X	X	X	X	X						
SUB	Summit Bancorp															X	X
SUN	Sunoco Inc.				X	X	X	X	X	X	X	X	X	X	X	X	X
SVU	Supervalu Inc.				X	X	X	X	X	X	X	X	X	X	X	X	X
SWK	Stanley Black & Decker	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SWN	Southwestern Energy	X	X	X	X	X	X	X									
SWY	Safeway Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
SYK	Stryker Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
SYMC	Symantec Corp.	X	X	X	X	X	X	X	X	X	X	X	X				
SYY	Sysco Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
T	AT&T Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
T (Old)	AT&T Corp. (Old)											X	X	X	X	X	X
TAP	Molson Coors Brewing Co.	X	X	X	X	X	X	X	X	X	X						
TAP.B	Travelers Property Casualty												X	X			
TDC	Teradata Corp.	X	X	X	X	X	X	X	X								
TE	TECO Energy	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
TEG	Integrys Energy Group Inc.	X	X	X	X	X	X	X	X								
TEK	Tektronix Inc.									X	X	X	X	X	X	X	X
TEL	TE Connectivity Ltd.	X	X	X	X			X	X								
TER	Teradyne			X	X	X	X	X	X	X	X	X	X	X	X	X	X
TEX	Terex Corp.								X	X							
TGT	Target Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
THC	Tenet Healthcare Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TIE	Titanium Metals				X	X	X	X	X								
TIF	Tiffany & Co.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
TIN	Temple-Inland Inc.									X	X	X	X	X	X	X	X
TJX	TJX Companies Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TKR	Timken Co.															X	X
TLAB	Tellabs Inc.					X	X	X	X	X	X	X	X	X	X	X	X
TMC	Times Mirror																X
TMK	Torchmark Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TMO	Thermo Fisher Scientific	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TNB	Thomas & Betts												X	X	X	X	X
TOS	Tosco Corp.															X	X
TOY	Toys "R" Us, Inc.											X	X	X	X	X	X
TRB	Tribune Co.									X	X	X	X	X	X	X	X
TRIP	TripAdvisor	X	X	X	X												
TROW	T. Rowe Price Group	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TRV	The Travelers Companies	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TRW	TRW Inc.														X	X	X
TSCO	Tractor Supply Co.	X															
TSG	Sabre Holding Corp.									X	X	X	X	X	X	X	
TSN	Tyson Foods	X	X	X	X	X	X	X	X	X	X						
TSO	Tesoro Petroleum Co.	X	X	X	X	X	X	X	X								
TSS	Total System Services	X	X	X	X	X	X	X	X								
TT	Trane Inc.								X	X	X	X	X	X			
TUP	Tupperware Corp.												X	X	X	X	X
TWC	Time Warner Cable Inc.	X	X	X	X	X	X										
TWX	Time Warner Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TX	Texaco Inc.															X	X
TXN	Texas Instruments	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TXT	Textron Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
TXU	TXU Corp.									X	X	X	X	X	X	X	X
TYC	Tyco Int'l	X	X	X	X	X		X	X	X	X	X	X	X	X	X	X
U	USAirways Group Inc.														X	X	X
UA	Under Armour	X															
UCL	Unocal Corp.											X	X	X	X	X	X
UCM	Unicom Corp.																X
UHS	Universal Health Services	X															
UIS	Unisys Corp.								X	X	X	X	X	X	X	X	X
UK	Union Carbide															X	X
UMG	MediaOne Group Inc.																X
UN	Unilevr N.V.														X	X	X
UNH	United Health Group Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
UNM	Unum Group	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
UNP	Union Pacific	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
UPC	Union Planters Corp.												X	X	X	X	X
UPR	Union Pacific Resources																X
UPS	United Parcel Service	X	X	X	X	X	X	X	X	X	X	X	X	X			
URBN	Urban Outfitters	X	X	X	X	X											
URI	United Rentals, Inc.	X															
USB	U.S. Bancorp	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
UST	UST Inc.							X	X	X	X	X	X	X	X	X	X
USW	US West																X
UTX	United Technologies	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
UVN	Univision Communications									X	X	X	X	X	X		
V	Visa Inc.	X	X	X	X	X	X										
VAR	Varian Medical Systems	X	X	X	X	X	X	X	X								
VC	Visteon Corp.											X	X	X	X	X	
VFC	V.F. Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
VIAB	Viacom Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
VLO	Valero Energy	X	X	X	X	X	X	X	X	X	X	X					
VMC	Vulcan Materials	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
VNO	Vornado Realty Trust	X	X	X	X	X	X	X	X	X	X						
VO	Seagram Co. Ltd.																X
VRSN	Verisign Inc.	X	X	X	X	X	X	X	X	X							
VRTS	Veritas Software											X	X	X	X	X	
VRTX	Vertex Pharmaceuticals Inc.	X	X														
VTR	Ventas Inc.	X	X	X	X	X	X										
VTSS	Vitesse Semiconductor														X	X	
VZ	Verizon Communications	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
W	Westvaco Corp.														X	X	X
WAMUQ	Washington Mutual Inc.								X	X	X	X	X	X	X	X	X
WAT	Waters Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
WB	Wachovia Corp.								X	X	X	X	X	X	X	X	X
WBA	Walgreens Boots Alliance	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WCOM	WorldCom														X	X	X
WDC	Western Digital	X	X	X	X	X	X										
WEC	Wisconsin Energy Corp.	X	X	X	X	X	X	X									
WEN	Wendy's International Inc.								X	X	X	X	X	X	X	X	X
WFC	Wells Fargo	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WFM	Whole Foods Market	X	X	X	X	X	X	X	X	X	X						
WFR	MEMC Electronic Materials					X	X	X	X								
WFT	Weatherford Int'l Ltd.							X	X	X	X						
WHR	Whirlpool Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WIN	Windstream Comm's	X	X	X	X	X	X	X	X	X							
WIN (W-D)	Winn-Dixie												X	X	X	X	X
WLA	Warner-Lambert																X
WLL	Willamette Industries														X	X	X
WLP	WellPoint Health Networks												X	X	X	X	X
WM	Waste Management Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WMB	Williams Cos.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WMT	Wal-Mart Stores	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WOR	Worthington Industries												X	X	X	X	X
WPX	WPX Energy Inc		X	X	X												
WU	Western Union Co.	X	X	X	X	X	X	X	X	X							
WWY	Wrigley Co.								X	X	X	X	X	X	X	X	X
WY	Weyerhaeuser Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
WYE	Wyeth Corp.							X	X	X	X	X	X	X	X	X	X
WYN	Wyndham Worldwide	X	X	X	X	X	X	X	X	X							
WYNN	Wynn Resorts Ltd.	X	X	X	X	X	X	X									
X	U.S. Steel Corp.		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XEC	Cimarex Energy	X															
XEL	Xcel Energy Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XL	XL Capital	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
XLNX	Xilinx Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XOM	Exxon Mobil Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XRAY	Dentsply Int'l	X	X	X	X	X	X	X									
XRX	Xerox Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
XTO	XTO Energy Inc.						X	X	X	X	X	X					
XYL	Xylem Inc.	X	X	X	X												
YHOO	Yahoo Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
YUM	Yum! Brands Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
ZION	Zions Bancorp	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
ZMH	Zimmer Holdings	X	X	X	X	X	X	X	X	X	X	X	X	X	X		
ZTS	Zoetis, Inc.	X	X														